name,id,year
Tournaments,,2024
FedEx St. Jude Championship,401580364,2024
Wyndham Championship,401580363,2024
3M Open,401580362,2024
Barracuda Championship,401580361,2024
The Open,401580360,2024
ISCO Championship,401634279,2024
Genesis Scottish Open,401580359,2024
John Deere Classic,401580358,2024
Rocket Mortgage Classic,401580357,2024
Travelers Championship,401580356,2024
U.S. Open,401580355,2024
the Memorial Tournament,401580354,2024
RBC Canadian Open,401580353,2024
Charles Schwab Challenge,401580352,2024
PGA Championship,401580351,2024
Myrtle Beach Classic,401580350,2024
Wells Fargo Championship,401580349,2024
THE CJ CUP Byron Nelson,401580348,2024
Corales Puntacana Championship,401580346,2024
RBC Heritage,401580345,2024
Masters Tournament,401580344,2024
Valero Texas Open,401580343,2024
Texas Children's Houston Open,401580342,2024
Valspar Championship,401580341,2024
THE PLAYERS Championship,401580340,2024
Puerto Rico Open,401580339,2024
Arnold Palmer Invitational,401580338,2024
Cognizant Classic,401580337,2024
Mexico Open,401580336,2024
The Genesis Invitational,401580335,2024
WM Phoenix Open,401580334,2024
Farmers Insurance Open,401580332,2024
The American Express,401580331,2024
Sony Open in Hawaii,401580330,2024
The Sentry,401580329,2024
